date,action_id,action_type,ratio,price,shares_traded,fee_paid,cash,holdings,total_assets
2016-08-24,5,BUY,0.62,63.09000015258789,953.2413988674418,1917.5257731958764,38000.0,953.2413988674418,98140.0
2016-08-25,5,BUY,0.62,62.61000061035156,365.0087809809347,728.659793814433,14440.0,1318.2501798483765,96975.64456490292
2016-08-26,5,BUY,0.62,62.63999938964844,138.63691067396644,276.8907216494845,5487.200000000001,1456.887090522343,96746.60646110625
2016-08-29,5,BUY,0.62,62.970001220703125,52.4059395907243,105.21847422680413,2085.1360000000004,1509.2930301130673,97125.31994861856
2016-08-30,5,BUY,0.62,62.97999954223633,19.91109557819277,39.98302020618557,792.3516800000002,1529.20412569126,97101.62681602147
2016-08-31,5,BUY,0.62,62.93999862670898,7.571024956295105,15.193547678350518,301.0936384000001,1536.7751506475552,97025.7195097176
2016-09-01,5,BUY,0.62,63.06999969482422,2.871059378625887,5.773548117773198,114.41558259200002,1539.646210026181,97219.90157908051
2016-09-02,5,BUY,0.62,63.470001220703125,1.0841268323213171,2.1939482847538145,43.47792138496001,1540.7303368585024,97833.63428256844
2016-09-05,5,BUY,0.62,63.34999847412109,0.4127485801218427,0.8337003482064497,16.521610126284806,1541.1430854386242,97647.93372106539
2016-09-06,5,BUY,0.62,63.34999847412109,0.1568444604463366,0.31680613231845095,6.278211847988226,1541.2999298990705,97647.62641911705
2016-09-07,5,BUY,0.62,63.09000015258789,0.05984651444373412,0.12038633028101134,2.385720502235526,1541.3597764135143,97246.77424962369
2016-09-08,5,BUY,0.62,62.43000030517578,0.022982096796795304,0.04574680550678432,0.9065737908495,1541.382758510311,96229.43265798227
2016-09-09,5,BUY,0.62,62.68999862670898,0.008696977025920205,0.01738378609257804,0.34449804052280997,1541.391455487337,96630.17272576263
2016-09-12,5,BUY,0.62,60.52000045776367,0.003423349636477724,0.006605838715179655,0.1309092553986678,1541.3948788369735,93285.34968206362
2016-09-13,5,BUY,0.62,62.25,0.001264720099470651,0.002510218711768269,0.04974551705149376,1541.396143557073,95951.95968194485
2016-09-14,5,BUY,0.62,61.290000915527344,0.0004881212842064997,0.000953883110471942,0.01890329647956763,1541.3966316783572,94472.21987005376
